======================================================================================================================
   LOCAL CONGESTION MFG EXAMPLE (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.01, beta = 1.5, zeta = 1.0
Solver Parameters:
  PICARD_MAX_ITER = 300, PICARD_TOL = 1e-06
  DAMPING = 0.8
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
Problem Specific Parameters:
  initial_support = [0.375, 0.625], initial_height = 4.0, boundary = periodic
  terminal_wells = [0.3, 0.7], terminal_scale = 15.0, congestion_scale = 4.0
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
----------------------------------------------------------------------------------------------------------------------
1     | 6.1599e-01   | 1.0000e+00   | 7.8893e-01   | 5.0812e-01   | 336        | 0.1585
2     | 2.8914e-01   | 4.6939e-01   | 5.1243e-01   | 4.0896e-01   | 351        | 0.1618
3     | 1.0994e-01   | 1.5270e-01   | 3.4128e-01   | 2.5553e-01   | 326        | 0.1509
4     | 8.0637e-02   | 1.0428e-01   | 2.7334e-01   | 2.1062e-01   | 319        | 0.1497
5     | 6.5921e-02   | 8.3083e-02   | 2.0204e-01   | 1.5741e-01   | 325        | 0.1504
6     | 4.2483e-02   | 5.3279e-02   | 1.1675e-01   | 8.8993e-02   | 321        | 0.1497
7     | 3.2494e-02   | 4.0392e-02   | 9.1479e-02   | 7.1332e-02   | 322        | 0.1510
8     | 2.5262e-02   | 3.1238e-02   | 7.2859e-02   | 5.5995e-02   | 322        | 0.1495
9     | 1.9645e-02   | 2.4338e-02   | 6.1461e-02   | 4.7466e-02   | 320        | 0.1476
10    | 1.4887e-02   | 1.8390e-02   | 4.5420e-02   | 3.5180e-02   | 322        | 0.1507
11    | 1.0481e-02   | 1.2958e-02   | 2.9689e-02   | 2.2854e-02   | 321        | 0.1494
12    | 8.1700e-03   | 1.0097e-02   | 2.2223e-02   | 1.7200e-02   | 320        | 0.1510
13    | 6.3798e-03   | 7.8774e-03   | 1.8472e-02   | 1.4257e-02   | 321        | 0.1519
14    | 4.7741e-03   | 5.8992e-03   | 1.4728e-02   | 1.1368e-02   | 321        | 0.1503
15    | 3.4434e-03   | 4.2526e-03   | 1.0019e-02   | 7.7451e-03   | 321        | 0.1491
16    | 2.4942e-03   | 3.0806e-03   | 6.5894e-03   | 5.0849e-03   | 321        | 0.1516
17    | 1.9475e-03   | 2.4056e-03   | 5.3807e-03   | 4.1568e-03   | 321        | 0.1477
18    | 1.4860e-03   | 1.8351e-03   | 4.4513e-03   | 3.4378e-03   | 321        | 0.1507
19    | 1.0600e-03   | 1.3092e-03   | 3.1720e-03   | 2.4491e-03   | 321        | 0.1495
20    | 7.5824e-04   | 9.3649e-04   | 2.0579e-03   | 1.5897e-03   | 321        | 0.1473
21    | 5.7654e-04   | 7.1206e-04   | 1.5357e-03   | 1.1858e-03   | 321        | 0.1493
22    | 4.4630e-04   | 5.5124e-04   | 1.3052e-03   | 1.0080e-03   | 321        | 0.1513
23    | 3.2732e-04   | 4.0427e-04   | 9.9472e-04   | 7.6823e-04   | 321        | 0.1502
24    | 2.3128e-04   | 2.8566e-04   | 6.5618e-04   | 5.0672e-04   | 321        | 0.1508
25    | 1.7135e-04   | 2.1163e-04   | 4.5083e-04   | 3.4818e-04   | 321        | 0.1501
26    | 1.3326e-04   | 1.6458e-04   | 3.7518e-04   | 2.8974e-04   | 321        | 0.1483
27    | 1.0033e-04   | 1.2392e-04   | 3.0415e-04   | 2.3488e-04   | 321        | 0.1500
28    | 7.1450e-05   | 8.8246e-05   | 2.1108e-04   | 1.6302e-04   | 321        | 0.1510
29    | 5.1486e-05   | 6.3590e-05   | 1.3771e-04   | 1.0634e-04   | 321        | 0.1494
30    | 3.9599e-05   | 4.8909e-05   | 1.0721e-04   | 8.2796e-05   | 321        | 0.1507
31    | 3.0480e-05   | 3.7646e-05   | 9.0459e-05   | 6.9859e-05   | 321        | 0.1522
32    | 2.2116e-05   | 2.7316e-05   | 6.6956e-05   | 5.1708e-05   | 321        | 0.1489
33    | 1.5682e-05   | 1.9368e-05   | 4.3620e-05   | 3.3686e-05   | 321        | 0.1492
34    | 1.1766e-05   | 1.4532e-05   | 3.1051e-05   | 2.3980e-05   | 321        | 0.1509
35    | 9.1558e-06   | 1.1308e-05   | 2.6253e-05   | 2.0274e-05   | 321        | 0.1487
36    | 6.8148e-06   | 8.4169e-06   | 2.0735e-05   | 1.6013e-05   | 321        | 0.1503
37    | 4.8282e-06   | 5.9633e-06   | 1.4028e-05   | 1.0833e-05   | 321        | 0.1495
38    | 3.5199e-06   | 4.3474e-06   | 9.3102e-06   | 7.1900e-06   | 321        | 0.1502
39    | 2.7267e-06   | 3.3677e-06   | 7.5086e-06   | 5.7987e-06   | 321        | 0.1499
40    | 2.0800e-06   | 2.5690e-06   | 6.2443e-06   | 4.8223e-06   | 321        | 0.1505
41    | 1.4944e-06   | 1.8458e-06   | 4.4846e-06   | 3.4633e-06   | 321        | 0.1499
42    | 1.0655e-06   | 1.3160e-06   | 2.9064e-06   | 2.2445e-06   | 321        | 0.1492
43    | 8.0944e-07   | 9.9974e-07   | 2.1549e-06   | 1.6642e-06   | 321        | 0.1514
44    | 6.2780e-07   | 7.7539e-07   | 1.8308e-06   | 1.4139e-06   | 321        | 0.1494
45    | 4.6175e-07   | 5.7030e-07   | 1.4051e-06   | 1.0851e-06   | 321        | 0.1491
46    | 3.2660e-07   | 4.0338e-07   | 9.3092e-07   | 7.1892e-07   | 321        | 0.1503
----------------------------------------------------------------------------------------------------------------------
CONVERGED at nu=0.01 in 46 iterations.
Total Execution Time: 6.9278 seconds.
