======================================================================================================================
   LOCAL CONGESTION MFG EXAMPLE 2D (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0, ymin = 0.0, ymax = 1.0
  T    = 1.0, Nx = 200, Ny = 200, Nt = 20
  nu   = 0.01, beta = 1.5, zeta = 1.0
Solver Parameters:
  PICARD_MAX_ITER = 100, PICARD_TOL = 1e-06
  DAMPING = 0.7
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
  LINEAR_SOLVER = direct sparse (spsolve/SuperLU)
Grid Info:
  dt = 0.050000, dx = 0.005000, dy = 0.005000
Problem Specific Parameters:
  initial_support = [0.375, 0.625]^2, initial_height = 4.0, boundary = periodic
  terminal_wells = [(0.3, 0.5), (0.7, 0.5)], terminal_scale = 15.0, congestion_scale = 4.0
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
----------------------------------------------------------------------------------------------------------------------
1     | 9.7465e-01   | 1.0000e+00   | 8.1791e-01   | 3.2047e-01   | 89         | 342.2557
2     | 4.7804e-01   | 4.9048e-01   | 4.8033e-01   | 2.2251e-01   | 89         | 266.4157
3     | 2.1911e-01   | 1.6278e-01   | 2.5850e-01   | 1.2620e-01   | 87         | 239.4848
4     | 7.0786e-02   | 4.6960e-02   | 1.5443e-01   | 7.4821e-02   | 88         | 240.8299
5     | 3.9580e-02   | 2.5433e-02   | 8.2735e-02   | 3.9883e-02   | 88         | 245.5214
6     | 2.1890e-02   | 1.3832e-02   | 6.2147e-02   | 3.0021e-02   | 87         | 242.0503
7     | 1.5094e-02   | 9.4800e-03   | 4.0890e-02   | 1.9770e-02   | 87         | 242.7806
8     | 1.1578e-02   | 7.2612e-03   | 2.9533e-02   | 1.4271e-02   | 87         | 242.6972
9     | 8.3836e-03   | 5.2465e-03   | 2.3209e-02   | 1.1212e-02   | 87         | 235.1319
10    | 6.6457e-03   | 4.1588e-03   | 1.8217e-02   | 8.8003e-03   | 87         | 236.8076
11    | 4.8575e-03   | 3.0386e-03   | 1.3688e-02   | 6.6125e-03   | 87         | 236.8785
12    | 3.7611e-03   | 2.3517e-03   | 1.0325e-02   | 4.9879e-03   | 87         | 236.0596
13    | 3.2478e-03   | 2.0313e-03   | 8.2579e-03   | 3.9891e-03   | 87         | 235.0643
14    | 2.3303e-03   | 1.4570e-03   | 6.2241e-03   | 3.0066e-03   | 87         | 234.9246
15    | 1.6416e-03   | 1.0264e-03   | 4.4846e-03   | 2.1663e-03   | 87         | 234.8221
16    | 1.3847e-03   | 8.6589e-04   | 3.4857e-03   | 1.6838e-03   | 87         | 235.1427
17    | 1.0893e-03   | 6.8104e-04   | 2.7754e-03   | 1.3407e-03   | 87         | 235.1736
18    | 7.5588e-04   | 4.7263e-04   | 2.0439e-03   | 9.8730e-04   | 87         | 234.8027
19    | 5.5986e-04   | 3.5007e-04   | 1.4877e-03   | 7.1866e-04   | 87         | 234.9644
20    | 4.6835e-04   | 2.9284e-04   | 1.1827e-03   | 5.7131e-04   | 87         | 235.0067
21    | 3.5962e-04   | 2.2486e-04   | 9.2879e-04   | 4.4866e-04   | 87         | 235.1523
22    | 2.4764e-04   | 1.5484e-04   | 6.7438e-04   | 3.2577e-04   | 87         | 235.0914
23    | 1.9031e-04   | 1.1899e-04   | 5.0191e-04   | 2.4245e-04   | 87         | 235.7922
24    | 1.5988e-04   | 9.9967e-05   | 4.0327e-04   | 1.9480e-04   | 87         | 235.8138
25    | 1.1874e-04   | 7.4242e-05   | 3.1109e-04   | 1.5028e-04   | 87         | 235.2409
26    | 8.2173e-05   | 5.1379e-05   | 2.2471e-04   | 1.0855e-04   | 87         | 234.9678
27    | 6.5713e-05   | 4.1088e-05   | 1.7059e-04   | 8.2403e-05   | 87         | 234.8681
28    | 5.4291e-05   | 3.3946e-05   | 1.3727e-04   | 6.6308e-05   | 87         | 234.9337
29    | 3.9164e-05   | 2.4488e-05   | 1.0399e-04   | 5.0235e-05   | 87         | 236.3457
30    | 2.7572e-05   | 1.7240e-05   | 7.5063e-05   | 3.6260e-05   | 87         | 243.7036
31    | 2.2693e-05   | 1.4189e-05   | 5.8151e-05   | 2.8090e-05   | 87         | 239.2993
32    | 1.8314e-05   | 1.1451e-05   | 4.6574e-05   | 2.2498e-05   | 87         | 241.1935
33    | 1.2886e-05   | 8.0568e-06   | 3.4650e-05   | 1.6738e-05   | 87         | 245.3614
34    | 9.3356e-06   | 5.8372e-06   | 2.5177e-05   | 1.2162e-05   | 87         | 245.5922
35    | 7.8260e-06   | 4.8933e-06   | 1.9861e-05   | 9.5939e-06   | 87         | 241.4705
36    | 6.1282e-06   | 3.8317e-06   | 1.5734e-05   | 7.6002e-06   | 87         | 239.1330
37    | 4.2438e-06   | 2.6535e-06   | 1.1527e-05   | 5.5683e-06   | 87         | 239.7875
38    | 3.1906e-06   | 1.9950e-06   | 8.4873e-06   | 4.0999e-06   | 87         | 239.7493
39    | 2.6867e-06   | 1.6799e-06   | 6.7834e-06   | 3.2768e-06   | 87         | 242.6947
40    | 2.0364e-06   | 1.2733e-06   | 5.2915e-06   | 2.5561e-06   | 87         | 242.2545
41    | 1.4041e-06   | 8.7792e-07   | 3.8352e-06   | 1.8526e-06   | 87         | 239.1708
42    | 1.0977e-06   | 6.8637e-07   | 2.8756e-06   | 1.3891e-06   | 87         | 238.9876
43    | 9.1673e-07   | 5.7319e-07   | 2.3132e-06   | 1.1174e-06   | 87         | 240.2370
44    | 6.7291e-07   | 4.2074e-07   | 1.7721e-06   | 8.5603e-07   | 87         | 238.5241
----------------------------------------------------------------------------------------------------------------------
CONVERGED in 44 iterations.
Total Execution Time: 10673.7700 seconds.
