======================================================================================================================
   NONLOCAL CONGESTION MFG EXAMPLE (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.01, beta = 1.5, zeta = 1.0, sigma_kernel = 0.2
Solver Parameters:
  PICARD_MAX_ITER = 100, PICARD_TOL = 1e-06
  DAMPING = 0.2
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
Problem Specific Parameters:
  initial_support = [0.375, 0.625], initial_height = 4.0, boundary = periodic
  terminal_wells = [0.3, 0.7], terminal_scale = 15.0, congestion_scale = 4.0
  kernel = periodic Gaussian, sigma_kernel = 0.2
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)
----------------------------------------------------------------------------------------------------------------------
1     | 1.5895e-01   | 1.0000e+00   | 2.2686e-02   | 1.4611e-02   | 313        | 0.1448
2     | 1.2721e-01   | 8.0028e-01   | 3.5873e-02   | 2.3245e-02   | 313        | 0.1405
3     | 1.0184e-01   | 3.5588e-01   | 4.2500e-02   | 2.7805e-02   | 312        | 0.1417
4     | 8.1563e-02   | 2.1022e-01   | 4.4687e-02   | 2.9562e-02   | 312        | 0.1397
5     | 6.5357e-02   | 1.3919e-01   | 4.3962e-02   | 2.9411e-02   | 312        | 0.1399
6     | 5.2404e-02   | 9.7978e-02   | 4.1418e-02   | 2.8001e-02   | 311        | 0.1406
7     | 4.2053e-02   | 7.1617e-02   | 3.7830e-02   | 2.5815e-02   | 311        | 0.1409
8     | 3.3780e-02   | 5.3692e-02   | 3.3743e-02   | 2.3210e-02   | 311        | 0.1408
9     | 2.7166e-02   | 4.0989e-02   | 2.9526e-02   | 2.0443e-02   | 311        | 0.1394
10    | 2.1876e-02   | 3.1717e-02   | 2.5425e-02   | 1.7698e-02   | 310        | 0.1411
11    | 1.7641e-02   | 2.4799e-02   | 2.1594e-02   | 1.5094e-02   | 310        | 0.1412
12    | 1.4246e-02   | 1.9549e-02   | 1.8120e-02   | 1.2706e-02   | 310        | 0.1406
13    | 1.1519e-02   | 1.5511e-02   | 1.5041e-02   | 1.0573e-02   | 310        | 0.1401
14    | 9.3242e-03   | 1.2369e-02   | 1.2366e-02   | 8.7085e-03   | 310        | 0.1397
15    | 7.5539e-03   | 9.9029e-03   | 1.0080e-02   | 7.1074e-03   | 310        | 0.1399
16    | 6.1226e-03   | 7.9515e-03   | 8.1535e-03   | 5.7545e-03   | 310        | 0.1387
17    | 4.9629e-03   | 6.3974e-03   | 6.5523e-03   | 4.6272e-03   | 310        | 0.1395
18    | 4.0216e-03   | 5.1531e-03   | 5.2371e-03   | 3.6998e-03   | 310        | 0.1391
19    | 3.2563e-03   | 4.1527e-03   | 4.1687e-03   | 2.9457e-03   | 310        | 0.1399
20    | 2.6336e-03   | 3.3458e-03   | 3.3094e-03   | 2.3387e-03   | 310        | 0.1388
21    | 2.1267e-03   | 2.6936e-03   | 2.6246e-03   | 1.8547e-03   | 310        | 0.1389
22    | 1.7143e-03   | 2.1660e-03   | 2.0829e-03   | 1.4719e-03   | 310        | 0.1389
23    | 1.3789e-03   | 1.7388e-03   | 1.6571e-03   | 1.1708e-03   | 310        | 0.1395
24    | 1.1066e-03   | 1.3933e-03   | 1.3235e-03   | 9.3503e-04   | 310        | 0.1391
25    | 8.8595e-04   | 1.1141e-03   | 1.0624e-03   | 7.5046e-04   | 310        | 0.1391
26    | 7.0756e-04   | 8.8887e-04   | 8.5749e-04   | 6.0566e-04   | 310        | 0.1392
27    | 5.6372e-04   | 7.0761e-04   | 6.9583e-04   | 4.9142e-04   | 310        | 0.1388
28    | 4.4809e-04   | 5.6210e-04   | 5.6721e-04   | 4.0054e-04   | 310        | 0.1383
29    | 3.5543e-04   | 4.4564e-04   | 4.6387e-04   | 3.2754e-04   | 310        | 0.1387
30    | 2.8143e-04   | 3.5272e-04   | 3.8000e-04   | 2.6830e-04   | 310        | 0.1388
31    | 2.2253e-04   | 2.7880e-04   | 3.1134e-04   | 2.1980e-04   | 310        | 0.1393
32    | 1.7579e-04   | 2.2019e-04   | 2.5474e-04   | 1.7983e-04   | 310        | 0.1389
33    | 1.3882e-04   | 1.7384e-04   | 2.0788e-04   | 1.4674e-04   | 310        | 0.1388
34    | 1.0965e-04   | 1.3729e-04   | 1.6903e-04   | 1.1931e-04   | 310        | 0.1387
35    | 8.6682e-05   | 1.0852e-04   | 1.3683e-04   | 9.6577e-05   | 310        | 0.1384
36    | 6.8626e-05   | 8.5905e-05   | 1.1021e-04   | 7.7788e-05   | 310        | 0.1387
37    | 5.4440e-05   | 6.8141e-05   | 8.8309e-05   | 6.2328e-05   | 310        | 0.1388
38    | 4.3289e-05   | 5.4180e-05   | 7.0386e-05   | 4.9677e-05   | 310        | 0.1381
39    | 3.4511e-05   | 4.3192e-05   | 5.5818e-05   | 3.9394e-05   | 310        | 0.1385
40    | 2.7586e-05   | 3.4523e-05   | 4.4065e-05   | 3.1099e-05   | 310        | 0.1378
41    | 2.2104e-05   | 2.7662e-05   | 3.4662e-05   | 2.4463e-05   | 310        | 0.1398
42    | 1.7749e-05   | 2.2211e-05   | 2.7204e-05   | 1.9199e-05   | 310        | 0.1388
43    | 1.4275e-05   | 1.7863e-05   | 2.1342e-05   | 1.5062e-05   | 310        | 0.1391
