x u_star u_num
-2.000000e+00 5.239265e+00 5.239265e+00
-1.980000e+00 5.179565e+00 5.184698e+00
-1.960000e+00 5.120465e+00 5.130125e+00
-1.940000e+00 5.061965e+00 5.075631e+00
-1.920000e+00 5.004065e+00 5.021289e+00
-1.900000e+00 4.946765e+00 4.967161e+00
-1.880000e+00 4.890065e+00 4.913301e+00
-1.860000e+00 4.833965e+00 4.859755e+00
-1.840000e+00 4.778465e+00 4.806560e+00
-1.820000e+00 4.723565e+00 4.753752e+00
-1.800000e+00 4.669265e+00 4.701358e+00
-1.780000e+00 4.615565e+00 4.649403e+00
-1.760000e+00 4.562465e+00 4.597909e+00
-1.740000e+00 4.509965e+00 4.546894e+00
-1.720000e+00 4.458065e+00 4.496373e+00
-1.700000e+00 4.406765e+00 4.446360e+00
-1.680000e+00 4.356065e+00 4.396866e+00
-1.660000e+00 4.305965e+00 4.347901e+00
-1.640000e+00 4.256465e+00 4.299473e+00
-1.620000e+00 4.207565e+00 4.251590e+00
-1.600000e+00 4.159265e+00 4.204257e+00
-1.580000e+00 4.111565e+00 4.157480e+00
-1.560000e+00 4.064465e+00 4.111264e+00
-1.540000e+00 4.017965e+00 4.065612e+00
-1.520000e+00 3.972065e+00 4.020527e+00
-1.500000e+00 3.926765e+00 3.976012e+00
-1.480000e+00 3.882065e+00 3.932071e+00
-1.460000e+00 3.837965e+00 3.888704e+00
-1.440000e+00 3.794465e+00 3.845913e+00
-1.420000e+00 3.751565e+00 3.803701e+00
-1.400000e+00 3.709265e+00 3.762067e+00
-1.380000e+00 3.667565e+00 3.721014e+00
-1.360000e+00 3.626465e+00 3.680542e+00
-1.340000e+00 3.585965e+00 3.640652e+00
-1.320000e+00 3.546065e+00 3.601344e+00
-1.300000e+00 3.506765e+00 3.562619e+00
-1.280000e+00 3.468065e+00 3.524478e+00
-1.260000e+00 3.429965e+00 3.486921e+00
-1.240000e+00 3.392465e+00 3.449949e+00
-1.220000e+00 3.355565e+00 3.413560e+00
-1.200000e+00 3.319265e+00 3.377757e+00
-1.180000e+00 3.283565e+00 3.342539e+00
-1.160000e+00 3.248465e+00 3.307906e+00
-1.140000e+00 3.213965e+00 3.273859e+00
-1.120000e+00 3.180065e+00 3.240397e+00
-1.100000e+00 3.146765e+00 3.207521e+00
-1.080000e+00 3.114065e+00 3.175231e+00
-1.060000e+00 3.081965e+00 3.143528e+00
-1.040000e+00 3.050465e+00 3.112410e+00
-1.020000e+00 3.019565e+00 3.081879e+00
-1.000000e+00 2.989265e+00 3.051935e+00
-9.800000e-01 2.959565e+00 3.022578e+00
-9.600000e-01 2.930465e+00 2.993807e+00
-9.400000e-01 2.901965e+00 2.965623e+00
-9.200000e-01 2.874065e+00 2.938027e+00
-9.000000e-01 2.846765e+00 2.911018e+00
-8.800000e-01 2.820065e+00 2.884597e+00
-8.600000e-01 2.793965e+00 2.858763e+00
-8.400000e-01 2.768465e+00 2.833518e+00
-8.200000e-01 2.743565e+00 2.808860e+00
-8.000000e-01 2.719265e+00 2.784791e+00
-7.800000e-01 2.695565e+00 2.761311e+00
-7.600000e-01 2.672465e+00 2.738419e+00
-7.400000e-01 2.649965e+00 2.716116e+00
-7.200000e-01 2.628065e+00 2.694403e+00
-7.000000e-01 2.606765e+00 2.673279e+00
-6.800000e-01 2.586065e+00 2.652744e+00
-6.600000e-01 2.565965e+00 2.632800e+00
-6.400000e-01 2.546465e+00 2.613446e+00
-6.200000e-01 2.527565e+00 2.594682e+00
-6.000000e-01 2.509265e+00 2.576510e+00
-5.800000e-01 2.491565e+00 2.558928e+00
-5.600000e-01 2.474465e+00 2.541938e+00
-5.400000e-01 2.457965e+00 2.525539e+00
-5.200000e-01 2.442065e+00 2.509732e+00
-5.000000e-01 2.426765e+00 2.494518e+00
-4.800000e-01 2.412065e+00 2.479896e+00
-4.600000e-01 2.397965e+00 2.465867e+00
-4.400000e-01 2.384465e+00 2.452431e+00
-4.200000e-01 2.371565e+00 2.439588e+00
-4.000000e-01 2.359265e+00 2.427339e+00
