x m_star m_num
-2.000000e+00 1.712789e-03 1.712789e-03
-1.980000e+00 1.930006e-03 1.796285e-03
-1.960000e+00 2.172162e-03 2.075893e-03
-1.940000e+00 2.441769e-03 2.385693e-03
-1.920000e+00 2.741548e-03 2.728532e-03
-1.900000e+00 3.074440e-03 3.107463e-03
-1.880000e+00 3.443619e-03 3.525752e-03
-1.860000e+00 3.852502e-03 3.986886e-03
-1.840000e+00 4.304766e-03 4.494592e-03
-1.820000e+00 4.804355e-03 5.052837e-03
-1.800000e+00 5.355494e-03 5.665843e-03
-1.780000e+00 5.962697e-03 6.338095e-03
-1.760000e+00 6.630783e-03 7.074350e-03
-1.740000e+00 7.364881e-03 7.879642e-03
-1.720000e+00 8.170441e-03 8.759292e-03
-1.700000e+00 9.053242e-03 9.718910e-03
-1.680000e+00 1.001940e-02 1.076440e-02
-1.660000e+00 1.107536e-02 1.190197e-02
-1.640000e+00 1.222793e-02 1.313812e-02
-1.620000e+00 1.348426e-02 1.447966e-02
-1.600000e+00 1.485183e-02 1.593369e-02
-1.580000e+00 1.633848e-02 1.750761e-02
-1.560000e+00 1.795238e-02 1.920910e-02
-1.540000e+00 1.970205e-02 2.104614e-02
-1.520000e+00 2.159632e-02 2.302695e-02
-1.500000e+00 2.364432e-02 2.516004e-02
-1.480000e+00 2.585549e-02 2.745415e-02
-1.460000e+00 2.823953e-02 2.991823e-02
-1.440000e+00 3.080641e-02 3.256144e-02
-1.420000e+00 3.356631e-02 3.539313e-02
-1.400000e+00 3.652960e-02 3.842278e-02
-1.380000e+00 3.970682e-02 4.166000e-02
-1.360000e+00 4.310862e-02 4.511446e-02
-1.340000e+00 4.674573e-02 4.879589e-02
-1.320000e+00 5.062892e-02 5.271402e-02
-1.300000e+00 5.476892e-02 5.687854e-02
-1.280000e+00 5.917640e-02 6.129903e-02
-1.260000e+00 6.386190e-02 6.598494e-02
-1.240000e+00 6.883573e-02 7.094549e-02
-1.220000e+00 7.410796e-02 7.618968e-02
-1.200000e+00 7.968831e-02 8.172615e-02
-1.180000e+00 8.558610e-02 8.756316e-02
-1.160000e+00 9.181015e-02 9.370852e-02
-1.140000e+00 9.836872e-02 1.001695e-01
-1.120000e+00 1.052694e-01 1.069528e-01
-1.100000e+00 1.125191e-01 1.140643e-01
-1.080000e+00 1.201238e-01 1.215094e-01
-1.060000e+00 1.280887e-01 1.292925e-01
-1.040000e+00 1.364179e-01 1.374170e-01
-1.020000e+00 1.451145e-01 1.458855e-01
-1.000000e+00 1.541803e-01 1.546994e-01
-9.800000e-01 1.636161e-01 1.638592e-01
-9.600000e-01 1.734211e-01 1.733638e-01
-9.400000e-01 1.835933e-01 1.832113e-01
-9.200000e-01 1.941290e-01 1.933980e-01
-9.000000e-01 2.050231e-01 2.039191e-01
-8.800000e-01 2.162690e-01 2.147682e-01
-8.600000e-01 2.278581e-01 2.259374e-01
-8.400000e-01 2.397803e-01 2.374172e-01
-8.200000e-01 2.520236e-01 2.491966e-01
-8.000000e-01 2.645745e-01 2.612627e-01
-7.800000e-01 2.774173e-01 2.736013e-01
-7.600000e-01 2.905347e-01 2.861963e-01
-7.400000e-01 3.039074e-01 2.990297e-01
-7.200000e-01 3.175143e-01 3.120821e-01
-7.000000e-01 3.313327e-01 3.253324e-01
-6.800000e-01 3.453377e-01 3.387577e-01
-6.600000e-01 3.595031e-01 3.523334e-01
-6.400000e-01 3.738007e-01 3.660335e-01
-6.200000e-01 3.882009e-01 3.798303e-01
-6.000000e-01 4.026722e-01 3.936949e-01
-5.800000e-01 4.171821e-01 4.075965e-01
-5.600000e-01 4.316965e-01 4.215036e-01
-5.400000e-01 4.461802e-01 4.353830e-01
-5.200000e-01 4.605967e-01 4.492007e-01
-5.000000e-01 4.749088e-01 4.629217e-01
-4.800000e-01 4.890784e-01 4.765100e-01
-4.600000e-01 5.030668e-01 4.899290e-01
-4.400000e-01 5.168346e-01 5.031416e-01
-4.200000e-01 5.303424e-01 5.161104e-01
-4.000000e-01 5.435506e-01 5.287976e-01
-3.800000e-01 5.564197e-01 5.411654e-01
-3.600000e-01 5.689104e-01 5.531762e-01
-3.400000e-01 5.809838e-01 5.647928e-01
-3.200000e-01 5.926019e-01 5.759783e-01
-3.000000e-01 6.037275e-01 5.866967e-01
-2.800000e-01 6.143243e-01 5.969128e-01
-2.600000e-01 6.243574e-01 6.065925e-01
-2.400000e-01 6.337933e-01 6.157029e-01
-2.200000e-01 6.426003e-01 6.242126e-01
-2.000000e-01 6.507483e-01 6.320919e-01
-1.800000e-01 6.582093e-01 6.393127e-01
-1.600000e-01 6.649573e-01 6.458490e-01
-1.400000e-01 6.709690e-01 6.516769e-01
-1.200000e-01 6.762230e-01 6.567748e-01
-1.000000e-01 6.807008e-01 6.611234e-01
-8.000000e-02 6.843866e-01 6.647060e-01
-6.000000e-02 6.872670e-01 6.675083e-01
-4.000000e-02 6.893319e-01 6.695190e-01
-2.000000e-02 6.905738e-01 6.707294e-01
0.000000e+00 6.909883e-01 6.711337e-01
2.000000e-02 6.905738e-01 6.707294e-01
4.000000e-02 6.893319e-01 6.695190e-01
6.000000e-02 6.872670e-01 6.675083e-01
8.000000e-02 6.843866e-01 6.647060e-01
1.000000e-01 6.807008e-01 6.611234e-01
1.200000e-01 6.762230e-01 6.567748e-01
1.400000e-01 6.709690e-01 6.516769e-01
1.600000e-01 6.649573e-01 6.458490e-01
1.800000e-01 6.582093e-01 6.393127e-01
2.000000e-01 6.507483e-01 6.320919e-01
2.200000e-01 6.426003e-01 6.242126e-01
2.400000e-01 6.337933e-01 6.157029e-01
2.600000e-01 6.243574e-01 6.065925e-01
2.800000e-01 6.143243e-01 5.969128e-01
3.000000e-01 6.037275e-01 5.866967e-01
3.200000e-01 5.926019e-01 5.759783e-01
3.400000e-01 5.809838e-01 5.647928e-01
3.600000e-01 5.689104e-01 5.531762e-01
3.800000e-01 5.564197e-01 5.411654e-01
4.000000e-01 5.435506e-01 5.287976e-01
4.200000e-01 5.303424e-01 5.161104e-01
4.400000e-01 5.168346e-01 5.031416e-01
4.600000e-01 5.030668e-01 4.899290e-01
4.800000e-01 4.890784e-01 4.765100e-01
5.000000e-01 4.749088e-01 4.629217e-01
5.200000e-01 4.605967e-01 4.492007e-01
5.400000e-01 4.461802e-01 4.353830e-01
5.600000e-01 4.316965e-01 4.215036e-01
5.800000e-01 4.171821e-01 4.075965e-01
6.000000e-01 4.026722e-01 3.936949e-01
6.200000e-01 3.882009e-01 3.798303e-01
6.400000e-01 3.738007e-01 3.660335e-01
6.600000e-01 3.595031e-01 3.523334e-01
6.800000e-01 3.453377e-01 3.387577e-01
7.000000e-01 3.313327e-01 3.253324e-01
7.200000e-01 3.175143e-01 3.120821e-01
7.400000e-01 3.039074e-01 2.990297e-01
7.600000e-01 2.905347e-01 2.861963e-01
7.800000e-01 2.774173e-01 2.736013e-01
8.000000e-01 2.645745e-01 2.612627e-01
8.200000e-01 2.520236e-01 2.491966e-01
8.400000e-01 2.397803e-01 2.374172e-01
8.600000e-01 2.278581e-01 2.259374e-01
8.800000e-01 2.162690e-01 2.147682e-01
9.000000e-01 2.050231e-01 2.039191e-01
9.200000e-01 1.941290e-01 1.933980e-01
9.400000e-01 1.835933e-01 1.832113e-01
9.600000e-01 1.734211e-01 1.733638e-01
9.800000e-01 1.636161e-01 1.638592e-01
1.000000e+00 1.541803e-01 1.546994e-01
1.020000e+00 1.451145e-01 1.458855e-01
1.040000e+00 1.364179e-01 1.374170e-01
1.060000e+00 1.280887e-01 1.292925e-01
1.080000e+00 1.201238e-01 1.215094e-01
1.100000e+00 1.125191e-01 1.140643e-01
1.120000e+00 1.052694e-01 1.069528e-01
1.140000e+00 9.836872e-02 1.001695e-01
1.160000e+00 9.181015e-02 9.370852e-02
1.180000e+00 8.558610e-02 8.756316e-02
1.200000e+00 7.968831e-02 8.172615e-02
1.220000e+00 7.410796e-02 7.618968e-02
1.240000e+00 6.883573e-02 7.094549e-02
1.260000e+00 6.386190e-02 6.598494e-02
1.280000e+00 5.917640e-02 6.129903e-02
1.300000e+00 5.476892e-02 5.687854e-02
1.320000e+00 5.062892e-02 5.271402e-02
1.340000e+00 4.674573e-02 4.879589e-02
1.360000e+00 4.310862e-02 4.511446e-02
1.380000e+00 3.970682e-02 4.166000e-02
1.400000e+00 3.652960e-02 3.842278e-02
1.420000e+00 3.356631e-02 3.539313e-02
1.440000e+00 3.080641e-02 3.256144e-02
1.460000e+00 2.823953e-02 2.991823e-02
1.480000e+00 2.585549e-02 2.745415e-02
1.500000e+00 2.364432e-02 2.516004e-02
1.520000e+00 2.159632e-02 2.302695e-02
1.540000e+00 1.970205e-02 2.104614e-02
1.560000e+00 1.795238e-02 1.920910e-02
1.580000e+00 1.633848e-02 1.750761e-02
1.600000e+00 1.485183e-02 1.593369e-02
1.620000e+00 1.348426e-02 1.447966e-02
1.640000e+00 1.222793e-02 1.313812e-02
1.660000e+00 1.107536e-02 1.190197e-02
1.680000e+00 1.001940e-02 1.076440e-02
1.700000e+00 9.053242e-03 9.718910e-03
1.720000e+00 8.170441e-03 8.759292e-03
1.740000e+00 7.364881e-03 7.879642e-03
1.760000e+00 6.630783e-03 7.074350e-03
1.780000e+00 5.962697e-03 6.338095e-03
1.800000e+00 5.355494e-03 5.665843e-03
1.820000e+00 4.804355e-03 5.052837e-03
1.840000e+00 4.304766e-03 4.494592e-03
1.860000e+00 3.852502e-03 3.986886e-03
1.880000e+00 3.443619e-03 3.525752e-03
1.900000e+00 3.074440e-03 3.107463e-03
1.920000e+00 2.741548e-03 2.728532e-03
1.940000e+00 2.441769e-03 2.385693e-03
1.960000e+00 2.172162e-03 2.075893e-03
1.980000e+00 1.930006e-03 1.796285e-03
2.000000e+00 1.712789e-03 1.712789e-03
