x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-2.0,2.696867102390912,2.6618671023909117,2.6266671023909116,2.621817102390912,2.617865102390912,2.617366602390912,2.6169670823909117
-1.98,2.694908183464572,2.660861556611415,2.6264665590748435,2.6217170289789937,2.617845124910663,2.6173566161490096,2.6169650855478155
-1.96,2.692970272171605,2.65986652193165,2.626268049403303,2.621617965800488,2.6178253483476146,2.6173467302927533,2.6169631087701006
-1.94,2.691053319570544,2.6588819831514137,2.626071572637178,2.621519912653277,2.6178057726888255,2.6173369448174117,2.6169611520570997
-1.92,2.6891572777244805,2.6579079253865765,2.62587712805399,2.621422869340226,2.617786397921805,2.6173272597184423,2.6169592154081776
-1.9,2.687282099680387,2.6569443340626364,2.625684714947569,2.6213268356690866,2.6177672240345053,2.617317674991493,2.6169572988227316
-1.88,2.685427739448988,2.6559911949084363,2.625494332627731,2.6212318114523994,2.6177482510153145,2.6173081906323947,2.616955402300191
-1.8599999999999999,2.6835941519851683,2.655048493950052,2.6253059804199723,2.621137796507402,2.6177294788530454,2.61729880663716,2.6169535258400156
-1.84,2.6817812931689073,2.6541162175048374,2.6251196576651585,2.6210447906559393,2.61771090753693,2.617289523001978,2.616951669441695
-1.82,2.6799891197867205,2.653194352175623,2.624935363719236,2.620952793724376,2.6176925370566106,2.617280339723212,2.61694983310475
-1.8,2.678217589513592,2.6522828848450684,2.6247530979529397,2.620861805543509,2.617674367402132,2.6172712567973964,2.6169480168287307
-1.78,2.676466660895389,2.6513818026701585,2.6245728597515128,2.6207718259484847,2.6176563985639336,2.6172622742212326,2.616946220613213
-1.76,2.6747362933317436,2.6504910930768455,2.6243946485144307,2.6206828547787184,2.617638630532844,2.6172533919915875,2.6169444444578045
-1.74,2.673026447059378,2.6496107437548275,2.624218463655138,2.6205948918778126,2.617621063300071,2.6172446101054883,2.616942688362139
-1.72,2.6713370831358834,2.6487407426524623,2.624044304600781,2.620507937093482,2.6176036968571963,2.6172359285601217,2.6169409523258773
-1.7,2.6696681634239123,2.647881077971814,2.623872170791959,2.6204219902774724,2.617586531196168,2.6172273473528276,2.6169392363487076
-1.68,2.668019650575798,2.647031738163827,2.6237020616824736,2.620337051285494,2.6175695663092937,2.6172188664811014,2.6169375404303423
-1.66,2.6663915080185707,2.6461927119236246,2.6235339767390884,2.6202531199771437,2.6175528021892362,2.617210485942588,2.6169358645705216
-1.6400000000000001,2.6647836999393717,2.6453639881859266,2.6233679154412908,2.6201701962158386,2.617536238829004,2.6172022057350777,2.6169342087690106
-1.62,2.663196191271244,2.644545556120588,2.6232038772810644,2.6200882798687433,2.617519876221947,2.6171940258565067,2.616932573025598
-1.6,2.661628947679302,2.6437374051282525,2.6230418617626627,2.6200073708067078,2.617503714361751,2.617185946304954,2.6169309573400987
-1.58,2.660081935547258,2.6429395248361134,2.622881868402392,2.6199274689041974,2.61748775324243,2.617177967078637,2.6169293617123497
-1.56,2.6585551219643038,2.6421519050937907,2.622723896728395,2.6198485740392337,2.617471992858321,2.61717008817591,2.6169277861422127
-1.54,2.657048474712334,2.641374535969309,2.6225679462804474,2.6197706860933283,2.6174564332040777,2.617162309595264,2.6169262306295713
-1.52,2.6555619622535023,2.640607407745179,2.622414016609753,2.6196938049514267,2.6174410742746685,2.61715463133532,2.6169246951743332
-1.5,2.654095553718104,2.639850510914583,2.6222621072787446,2.6196179305018443,2.617425916065369,2.617147053394831,2.6169231797764274
-1.48,2.6526492188927753,2.6391038361776578,2.62211221786089,2.6195430626362133,2.6174109585717535,2.617139575772678,2.6169216844358054
-1.46,2.651222928209,2.6383673744378684,2.6219643479405104,2.619469201249424,2.617396201789695,2.6171321984678673,2.6169202091524397
-1.44,2.649816652731916,2.637641116798483,2.621818497112588,2.619396346239571,2.617381645715359,2.6171249214795282,2.6169187539263246
-1.42,2.648430364149417,2.636925054559132,2.621674664982596,2.6193244975079,2.617367290345195,2.6171177448069125,2.6169173187574755
-1.4,2.647064034761535,2.6362191792124627,2.621532851166318,2.619253654958755,2.6173531356759385,2.617110668449393,2.616915903645928
-1.38,2.645717637470104,2.635523482440872,2.621393055289681,2.619183818499528,2.6173391817046006,2.6171036924064595,2.6169145085917376
-1.3599999999999999,2.6443911457686955,2.634837956113334,2.6212552769885895,2.6191149880406104,2.617325428428465,2.6170968166777167,2.6169131335949802
-1.3399999999999999,2.6430845337328135,2.634162592282298,2.6211195159087617,2.6190471634953423,2.617311875845085,2.617090041262884,2.616911778655751
-1.3199999999999998,2.6417977760103524,2.633497383180679,2.6209857717055765,2.618980344779968,2.6172985239522784,2.6170833661617934,2.6169104437741635
-1.2999999999999998,2.640530847812302,2.6328423212189165,2.6208540440439156,2.6189145318135902,2.617285372748124,2.6170767913743886,2.6169091289503523
-1.28,2.6392837249037018,2.6321973989821172,2.620724332598019,2.618849724518122,2.6172724222309554,2.617070316900719,2.616907834184469
-1.26,2.6380563835948276,2.631562609227269,2.6205966370513316,2.618785922818248,2.6172596723993613,2.6170639427409434,2.616906559476684
-1.24,2.636848800732622,2.630937944880527,2.620470957096372,2.618723126641379,2.617247123252177,2.617057668895327,2.6169053048271858
-1.22,2.6356609536923408,2.6303233990345776,2.620347292434584,2.6186613359176114,2.6172347747884825,2.6170514953642363,2.6169040702361808
-1.2,2.634492820369431,2.6297189649460613,2.6202256427762087,2.618600550579685,2.617222627007601,2.6170454221481423,2.6169028557038927
-1.18,2.633344379171623,2.6291246360330742,2.6201060078401492,2.618540770562949,2.6172106799090913,2.617039449247616,2.6169016612305636
-1.1600000000000001,2.632215609011234,2.6285404058727284,2.6199883873538456,2.6184819958053187,2.6171989334927477,2.617033576663329,2.6169004868164505
-1.1400000000000001,2.6311064892976788,2.627966268198783,2.6198727810531484,2.618424226247239,2.617187387758595,2.617027804396049,2.616899332461829
-1.12,2.630016999930184,2.627402216899336,2.6197591886821985,2.618367461831651,2.6171760427068858,2.6170221324466416,2.6168981981669903
-1.1,2.6289471212907016,2.626848246014576,2.6196476099933093,2.6183117025039544,2.6171648983380966,2.617016560816067,2.6168970839322427
-1.08,2.627896834237013,2.626304349734602,2.6195380447468506,2.618256948211973,2.6171539546529257,2.617011089505381,2.61689598975791
-1.06,2.6268661200960244,2.6257705223972962,2.6194304927111394,2.6182031989059227,2.6171432116522904,2.6170057185157294,2.6168949156443326
-1.04,2.6258549606572474,2.6252467584862575,2.619324953662328,2.6181504545383776,2.6171326693373222,2.6170004478483513,2.6168938615918655
-1.02,2.6248633381664583,2.6247330526287898,2.6192214273842995,2.6180987150642387,2.6171223277093656,2.616995277504576,2.6168928276008807
-1.0,2.6238912353195385,2.6242293995939505,2.619119913668566,2.6180479804407035,2.6171121867699743,2.616990207485822,2.6168918136717645
-0.98,2.622938635256483,2.623735794290651,2.6190204123141676,2.6179982506272372,2.61710224652091,2.616985237793595,2.616890819804918
