nu,Nx,Ny,Nt,status,time,cumulative_time,newton_iters,warm_start,residual
1.0,16,16,10,converged,0.3,0.3,8,False,1.37e-08
0.3,16,16,10,converged,0.2,0.4,5,True,7.24e-08
0.1,16,16,10,converged,0.2,0.6,5,True,6.62e-08
0.03,16,16,10,converged,0.1,0.7,4,True,7.93e-07
0.01,16,16,10,converged,0.1,0.8,4,True,4.84e-07
0.003,16,16,10,converged,0.1,1.0,4,True,5.72e-09
0.001,16,16,10,converged,0.1,1.1,3,True,4.39e-07
0.0003,16,16,10,converged,0.1,1.2,3,True,3.05e-08
0.0001,16,16,10,converged,0.1,1.3,3,True,6.48e-09
1.0,32,32,10,converged,0.5,0.5,8,False,1.7e-08
0.3,32,32,10,converged,0.3,0.9,5,True,1.03e-08
0.1,32,32,10,converged,0.3,1.2,5,True,6.63e-07
0.03,32,32,10,converged,0.4,1.6,5,True,7.23e-08
0.01,32,32,10,converged,0.4,2.0,5,True,1.07e-08
0.003,32,32,10,converged,0.5,2.5,5,True,1.15e-09
0.001,32,32,10,converged,0.4,2.9,4,True,3.1e-09
0.0003,32,32,10,converged,0.3,3.2,3,True,6.29e-07
0.0001,32,32,10,converged,0.3,3.5,3,True,5.51e-08
1.0,64,64,10,converged,2.2,2.2,8,False,7.04e-09
0.3,64,64,10,converged,1.3,3.5,5,True,3.33e-08
0.1,64,64,10,converged,1.7,5.2,6,True,1.86e-09
0.03,64,64,10,converged,1.6,6.8,5,True,2.13e-07
0.01,64,64,10,converged,2.0,8.8,5,True,4.35e-08
0.003,64,64,10,converged,2.6,11.4,5,True,5.39e-08
0.001,64,64,10,converged,2.3,13.7,4,True,3.24e-07
0.0003,64,64,10,converged,2.5,16.2,4,True,1.27e-08
0.0001,64,64,10,converged,2.6,18.9,4,True,9.51e-09
1.0,128,128,10,converged,17.6,17.6,8,False,1.97e-08
0.3,128,128,10,converged,10.3,27.9,5,True,3.15e-07
0.1,128,128,10,converged,13.4,41.3,6,True,5.47e-09
0.03,128,128,10,converged,14.9,56.2,6,True,1.88e-09
0.01,128,128,10,converged,13.8,70.1,5,True,8.35e-07
0.003,128,128,10,converged,17.1,87.2,5,True,7.73e-07
0.001,128,128,10,converged,21.8,109.1,5,True,2.26e-08
0.0003,128,128,10,converged,29.4,138.5,5,True,1.35e-09
0.0001,128,128,10,converged,33.7,172.2,5,True,4.8e-10
