nu,Nx,Ny,Nt,status,time,cumulative_time,newton_iters,continued_from_previous_nu,residual
1.0,16,16,10,converged,1.4,1.4,8,False,1.13e-08
0.3,16,16,10,converged,0.9,2.3,5,True,7.35e-11
0.1,16,16,10,converged,0.8,3.2,5,True,3.42e-09
0.03,16,16,10,converged,0.6,3.8,4,True,4.09e-07
0.01,16,16,10,converged,0.6,4.4,4,True,1.05e-08
0.003,16,16,10,converged,0.6,5.0,4,True,1.4e-11
0.001,16,16,10,converged,0.4,5.4,3,True,7.38e-08
0.0003,16,16,10,converged,0.4,5.9,3,True,1.37e-09
0.0001,16,16,10,converged,0.4,6.3,3,True,3.49e-11
1.0,32,32,10,converged,34.9,34.9,8,False,5.89e-09
0.3,32,32,10,converged,22.5,57.5,5,True,1.87e-09
0.1,32,32,10,converged,25.3,82.8,5,True,1.1e-08
0.03,32,32,10,converged,23.4,106.2,5,True,3.98e-10
0.01,32,32,10,converged,21.6,127.8,5,True,6.38e-12
0.003,32,32,10,converged,20.5,148.3,5,True,6.82e-13
0.001,32,32,10,converged,15.5,163.8,4,True,7.39e-13
0.0003,32,32,10,converged,10.4,174.2,3,True,1.8e-08
0.0001,32,32,10,converged,10.4,184.5,3,True,1.32e-10
1.0,64,64,10,converged,632.8,632.8,8,False,7.04e-09
0.3,64,64,10,converged,355.6,988.4,5,True,2.66e-08
0.1,64,64,10,converged,356.1,1344.5,5,True,1.85e-07
0.03,64,64,10,converged,368.6,1713.1,5,True,4.63e-09
0.01,64,64,10,converged,366.8,2079.9,5,True,1.7e-11
0.003,64,64,10,converged,369.4,2449.3,5,True,6.19e-11
0.001,64,64,10,converged,281.6,2730.9,4,True,1.18e-08
0.0003,64,64,10,converged,278.2,3009.1,4,True,1.86e-11
0.0001,64,64,10,converged,280.1,3289.2,4,True,2.27e-12
1.0,128,128,10,converged,7032.8,7032.8,8,False,1.3e-08
0.3,128,128,10,converged,5028.7,12061.5,5,True,3.14e-07
0.1,128,128,10,converged,6110.1,18171.6,6,True,4.49e-12
0.03,128,128,10,converged,5031.6,23203.2,5,True,3.78e-07
0.01,128,128,10,converged,5469.3,28672.5,5,True,1.53e-07
0.003,128,128,10,converged,4851.5,33524.0,5,True,1.85e-07
0.001,128,128,10,converged,4928.5,38452.6,5,True,4.94e-11
0.0003,128,128,10,converged,3931.5,42384.0,4,True,4.43e-07
0.0001,128,128,10,converged,4026.5,46410.5,4,True,6.08e-08
