nu,Nx,Ny,Nt,status,theta_used,n_attempts,total_time,iters_at_converged,residual_at_converged
1.0,16,16,10,converged,0.8,1,0.5,11,7.29e-07
0.3,16,16,10,converged,0.8,1,0.5,11,8.85e-07
0.1,16,16,10,converged,0.8,1,0.5,11,9.38e-07
0.03,16,16,10,converged,0.5,4,4.9,26,6.97e-07
0.01,16,16,10,converged,0.3,3,4.7,50,8.46e-07
0.003,16,16,10,converged,0.3,1,2.3,50,8.48e-07
0.001,16,16,10,converged,0.3,1,2.3,50,8.48e-07
0.0003,16,16,10,converged,0.3,1,2.4,50,8.48e-07
0.0001,16,16,10,converged,0.3,1,2.3,50,8.48e-07
1.0,32,32,10,converged,0.8,1,1.2,11,5.92e-07
0.3,32,32,10,converged,0.8,1,1.3,11,8.24e-07
0.1,32,32,10,converged,0.8,1,1.3,11,9.21e-07
0.03,32,32,10,converged,0.5,4,8.6,26,6.97e-07
0.01,32,32,10,converged,0.3,3,12.6,50,8.51e-07
0.003,32,32,10,converged,0.2,2,14.3,80,8.4e-07
0.001,32,32,10,failed,,3,9.3,,
0.0003,32,32,10,failed_by_monotonicity,,0,0.0,,
0.0001,32,32,10,failed_by_monotonicity,,0,0.0,,
1.0,64,64,10,converged,0.8,1,5.2,11,6.4e-07
0.3,64,64,10,converged,0.8,1,5.6,11,7.86e-07
0.1,64,64,10,converged,0.8,1,6.4,12,5.63e-07
0.03,64,64,10,converged,0.5,4,39.9,29,8.54e-07
0.01,64,64,10,converged,0.3,3,51.1,50,8.5e-07
0.003,64,64,10,failed,,4,56.4,,
0.001,64,64,10,failed_by_monotonicity,,0,0.0,,
0.0003,64,64,10,failed_by_monotonicity,,0,0.0,,
0.0001,64,64,10,failed_by_monotonicity,,0,0.0,,
1.0,128,128,10,converged,0.8,1,39.9,11,6.78e-07
0.3,128,128,10,converged,0.8,1,43.7,11,8.23e-07
0.1,128,128,10,converged,0.8,1,76.7,19,7.55e-07
0.03,128,128,10,converged,0.5,4,616.1,102,9.38e-07
0.01,128,128,10,converged,0.3,3,413.9,51,5.92e-07
0.003,128,128,10,failed,,4,402.7,,
0.001,128,128,10,failed_by_monotonicity,,0,0.0,,
0.0003,128,128,10,failed_by_monotonicity,,0,0.0,,
0.0001,128,128,10,failed_by_monotonicity,,0,0.0,,
